dc_bus_ripple_voltage_V,capacitor_esr_mOhm,junction_temp_C,mosfet_on_resistance_mOhm,conversion_efficiency_pct,heatsink_temp_C,command_fan_rpm,actual_fan_rpm,thd_pct,mains_surges_count,health_state
13.47,23.74,74.92,7.84,93.0,66.41,3500,2589,5.43,3,2
10.6,20.54,71.93,7.5,91.82,70.19,3500,2700,5.76,4,2
10.84,20.55,76.86,7.87,93.36,67.96,3500,2882,5.67,6,2
16.23,34.02,102.26,9.54,84.07,94.76,4000,1772,10.01,7,3
8.16,13.1,56.34,5.99,95.89,50.75,2000,1768,3.31,0,1
4.53,10.08,46.83,5.03,98.34,39.62,2000,2022,1.51,1,0
5.15,9.88,46.09,5.0,98.79,41.0,2000,2043,1.51,1,0
4.72,10.66,44.64,5.0,98.33,38.94,2000,1977,1.7,0,0
5.07,9.61,44.21,4.95,98.59,40.72,1500,1547,1.35,1,0
10.22,22.1,71.29,7.21,91.12,67.34,3500,2554,5.83,4,2
10.06,20.64,77.67,7.98,91.42,71.11,3500,2589,5.08,3,2
4.91,9.98,45.6,4.93,98.6,40.32,1500,1495,1.34,0,0
4.72,9.4,46.68,4.9,98.72,38.25,2000,1982,1.47,1,0
10.48,20.09,74.91,7.13,91.68,67.97,3500,2859,5.42,4,2
8.2,14.72,54.46,5.7,96.78,51.33,3000,2899,3.08,0,1
16.91,35.53,89.68,10.93,86.48,88.54,4000,1854,9.41,6,3
6.89,15.94,53.72,5.52,96.19,52.23,3000,2708,2.95,1,1
4.61,10.28,46.98,5.14,98.76,40.97,2500,2475,1.6,1,0
8.1,12.74,52.95,5.59,96.1,52.21,2000,1841,3.1,0,1
16.99,33.55,89.4,10.28,85.28,85.59,4000,2428,9.49,7,3
8.3,13.14,57.83,5.75,95.59,54.09,2500,2271,3.46,3,1
10.02,19.54,70.73,7.82,90.55,71.72,3500,2522,5.5,4,2
19.98,31.46,90.11,9.5,84.11,93.25,4000,2383,7.89,5,3
23.07,35.54,100.48,9.67,87.23,88.34,4000,2051,7.67,8,3
7.48,15.33,54.55,5.72,95.47,51.12,3000,2894,3.49,1,1
5.45,9.03,43.25,5.2,98.72,38.4,2500,2476,1.37,0,0
5.04,10.89,43.92,4.87,98.64,41.1,2500,2546,1.56,1,0
10.88,21.98,76.91,7.55,91.91,66.05,3500,2705,5.96,3,2
6.67,12.53,55.66,5.81,96.41,52.41,3000,2754,2.71,3,1
5.06,10.94,43.88,5.08,98.45,40.35,2500,2473,1.42,0,0
12.62,19.6,76.98,7.23,91.09,67.48,3500,2665,6.46,6,2
5.41,9.63,45.28,4.96,98.76,38.88,2000,1964,1.68,0,0
12.43,19.72,75.53,7.8,91.24,72.49,3500,2828,6.32,6,2
7.8,15.45,52.85,5.77,95.49,49.94,2000,1835,2.71,2,1
18.16,33.53,94.23,9.54,85.43,85.32,4000,2318,8.89,7,3
10.33,21.98,74.63,7.45,93.37,70.88,3500,2822,5.44,5,2
7.0,14.91,56.25,6.01,96.25,52.37,2500,2316,3.45,2,1
20.81,38.22,96.37,10.06,87.45,86.56,4000,2268,9.22,8,3
18.52,36.62,101.98,10.77,84.52,89.25,4000,1716,7.09,7,3
10.57,20.52,74.21,7.2,93.05,73.7,3500,2741,5.22,3,2
11.71,24.58,75.36,7.64,90.57,67.2,3500,2702,5.14,2,2
6.75,13.0,57.65,5.95,95.26,49.37,3000,2756,3.42,2,1
4.66,9.12,44.98,4.96,98.63,38.46,2500,2529,1.55,1,0
4.52,9.01,44.13,4.85,98.66,39.58,2000,1997,1.57,0,0
20.96,36.28,101.18,10.41,82.82,90.47,4000,1622,8.12,8,3
5.14,9.2,43.09,4.88,98.39,41.65,2000,2032,1.36,0,0
12.74,24.5,71.08,7.22,93.24,68.32,3500,2509,5.76,3,2
12.17,24.4,78.5,7.11,90.95,66.12,3500,2605,4.57,4,2
11.05,21.35,76.03,7.99,90.68,70.56,3500,2653,6.44,5,2
5.01,9.29,46.82,5.17,98.48,39.52,2000,1954,1.6,0,0
12.25,19.31,78.09,7.74,92.22,68.69,3500,2778,6.29,5,2
21.45,38.16,91.2,9.02,83.86,91.76,4000,2492,8.56,5,3
4.71,9.33,43.05,4.87,98.27,40.24,2500,2480,1.65,1,0
11.13,19.2,75.66,7.65,90.62,70.76,3500,2787,6.41,5,2
5.42,10.58,46.28,4.97,98.5,40.36,2500,2524,1.66,0,0
5.27,9.51,43.45,5.19,98.48,40.93,2500,2514,1.31,1,0
8.03,13.28,52.3,5.69,95.8,50.35,2000,1736,3.14,1,1
8.26,15.44,52.18,5.58,95.92,53.13,2000,1893,2.89,3,1
20.58,32.4,99.9,10.24,86.94,94.58,4000,2064,9.74,8,3
4.98,10.2,45.38,5.06,98.75,41.41,1500,1474,1.67,0,0
4.92,9.71,45.01,4.84,98.24,39.9,2500,2498,1.6,0,0
4.95,9.15,45.11,4.82,98.5,38.3,2000,2046,1.54,1,0
21.98,35.02,97.33,9.65,86.81,89.39,4000,2305,8.47,9,3
4.79,9.52,45.1,5.08,98.57,40.03,2500,2545,1.55,1,0
8.46,14.25,57.23,5.61,95.42,49.3,2000,1793,3.23,3,1
5.33,9.14,43.26,5.17,98.25,39.53,1500,1545,1.42,0,0
4.69,10.97,43.12,4.9,98.35,38.37,2500,2527,1.57,1,0
8.32,13.51,55.12,5.55,96.61,54.73,2000,1771,2.57,2,1
12.99,19.64,75.92,7.51,92.07,67.31,3500,2881,6.11,4,2
5.03,9.61,46.03,5.02,98.63,39.82,2000,2011,1.3,1,0
7.14,12.62,57.33,5.6,95.38,51.85,2500,2267,2.62,1,1
12.08,20.08,77.57,7.2,91.74,66.69,3500,2776,6.05,3,2
4.73,9.82,45.94,5.01,98.56,38.91,2500,2493,1.51,1,0
22.58,32.73,87.82,10.21,84.01,87.55,4000,1945,7.47,8,3
13.69,21.33,70.44,7.83,91.07,73.94,3500,2864,6.3,5,2
11.07,20.62,71.35,7.27,91.4,71.31,3500,2642,5.43,3,2
5.08,10.81,44.95,5.09,98.61,41.04,2500,2451,1.62,0,0
11.05,20.38,71.41,7.42,92.06,68.42,3500,2875,6.15,3,2
13.95,22.77,74.79,7.05,90.91,68.93,3500,2574,5.96,4,2
19.44,37.81,89.51,10.85,85.83,89.34,4000,1681,9.08,10,3
5.42,9.77,46.47,5.15,98.34,38.96,2500,2512,1.44,1,0
4.61,9.94,43.23,5.1,98.6,40.65,2000,1983,1.45,1,0
5.07,9.05,44.35,5.12,98.5,38.19,2000,1985,1.63,1,0
4.66,9.38,46.34,4.95,98.48,40.07,2000,1973,1.54,0,0
4.66,9.79,44.3,5.02,98.41,39.68,1500,1495,1.63,1,0
7.22,12.75,54.31,5.99,95.71,49.03,2500,2331,2.6,3,1
6.69,14.96,57.73,5.51,96.08,52.43,3000,2836,3.24,0,1
4.95,10.79,46.34,5.14,98.56,41.79,2500,2467,1.49,1,0
5.42,10.54,45.14,5.15,98.47,38.79,2000,2015,1.38,0,0
16.76,33.95,96.35,9.2,82.26,85.07,4000,2074,9.2,8,3
17.63,36.64,91.47,9.09,87.92,91.97,4000,2495,8.75,6,3
5.31,10.7,44.6,4.96,98.62,41.4,2500,2517,1.53,0,0
11.84,22.5,76.13,7.6,92.96,71.49,3500,2869,5.34,4,2
20.54,39.9,99.95,10.61,85.05,93.12,4000,2368,9.09,10,3
7.19,14.62,56.8,5.63,96.55,53.62,3000,2782,3.31,1,1
16.39,33.87,94.69,10.87,86.24,90.38,4000,2151,9.33,6,3
6.59,15.05,55.61,5.51,95.89,51.82,2500,2308,3.15,2,1
12.12,19.5,76.38,7.75,93.24,69.83,3500,2898,6.07,3,2
4.67,9.42,45.07,5.01,98.74,39.12,1500,1507,1.31,1,0
5.4,10.82,43.2,5.07,98.46,39.57,2500,2535,1.3,0,0
12.6,20.13,70.18,7.46,92.37,66.25,3500,2564,5.88,5,2
17.04,32.31,96.75,11.0,85.5,94.19,4000,1826,10.72,10,3
10.8,22.98,74.83,7.19,93.2,68.26,3500,2663,6.17,3,2
7.84,13.59,54.97,5.75,95.54,50.42,3000,2879,3.48,2,1
5.43,10.2,43.81,5.18,98.37,39.43,2000,2003,1.55,1,0
12.29,21.48,73.09,7.86,90.78,72.84,3500,2710,5.5,4,2
10.42,22.13,78.57,7.34,91.0,73.9,3500,2761,4.53,2,2
19.21,39.92,89.72,10.1,83.27,86.37,4000,1644,10.71,7,3
11.77,20.25,74.19,7.41,91.91,69.6,3500,2843,5.8,6,2
8.03,13.85,55.88,5.62,96.3,52.13,2500,2289,2.95,0,1
7.36,13.75,55.01,5.82,96.16,49.92,3000,2705,3.31,3,1
12.76,23.01,77.5,7.17,93.34,71.22,3500,2773,4.56,3,2
18.52,37.5,92.61,10.91,87.38,91.41,4000,2329,10.48,5,3
4.72,9.88,43.9,5.01,98.45,38.06,2000,2005,1.5,0,0
8.5,13.33,54.29,5.66,95.24,52.18,3000,2896,2.83,3,1
7.08,14.12,57.44,5.5,96.3,52.89,2000,1893,2.57,0,1
7.65,14.08,53.26,6.04,96.07,49.35,2000,1836,2.78,3,1
4.65,9.8,44.33,4.83,98.29,39.55,1500,1523,1.4,1,0
10.82,24.93,71.0,7.93,90.65,73.52,3500,2850,6.04,5,2
5.41,10.26,44.09,5.17,98.52,39.83,2500,2519,1.64,1,0
4.84,10.88,44.22,5.03,98.34,39.47,1500,1510,1.61,0,0
4.71,10.28,45.23,5.06,98.46,38.96,2500,2484,1.49,1,0
4.89,10.77,43.94,5.11,98.27,38.27,2500,2458,1.56,1,0
7.05,15.37,52.23,6.01,95.28,50.91,2000,1886,2.59,3,1
5.06,10.76,44.55,4.94,98.34,39.82,1500,1495,1.55,1,0
22.84,39.24,87.17,9.16,84.57,85.22,4000,2260,9.74,9,3
5.32,10.2,45.81,4.86,98.45,41.55,2000,2040,1.34,1,0
4.91,9.77,45.6,4.83,98.37,39.16,1500,1480,1.59,1,0
13.09,19.09,76.05,7.62,90.61,66.78,3500,2867,6.45,4,2
4.9,10.29,44.59,5.09,98.55,41.6,1500,1526,1.53,0,0
11.69,23.12,76.98,7.96,90.51,69.48,3500,2831,5.67,2,2
20.96,33.53,100.5,10.58,83.63,88.59,4000,1672,8.35,6,3
4.89,9.17,43.25,4.83,98.35,40.85,2000,2027,1.67,0,0
5.0,10.59,45.87,5.1,98.6,41.84,2000,2005,1.42,0,0
4.64,9.56,46.43,5.11,98.76,39.62,2000,2015,1.42,1,0
8.03,12.24,56.91,5.53,96.04,54.43,2500,2218,2.52,2,1
11.8,21.32,78.08,8.0,92.26,66.65,3500,2824,4.5,6,2
5.42,9.78,46.33,4.83,98.53,41.8,2000,1981,1.52,1,0
5.31,9.06,46.68,5.06,98.46,41.08,1500,1539,1.49,1,0
8.24,15.49,53.83,5.53,96.64,50.47,2000,1713,2.52,0,1
5.03,10.06,46.26,5.05,98.22,40.11,2000,2017,1.34,0,0
7.18,15.66,56.67,5.81,96.5,52.75,2000,1828,3.15,1,1
7.2,14.17,54.2,6.02,95.46,53.92,3000,2882,3.2,3,1
4.62,10.09,45.09,5.2,98.7,41.61,2500,2495,1.58,0,0
12.78,21.75,72.01,7.08,90.72,73.86,3500,2643,5.05,5,2
5.32,9.96,45.68,4.87,98.59,41.29,2000,1959,1.6,0,0
10.06,22.19,70.56,7.05,91.41,72.16,3500,2542,4.9,2,2
6.8,12.16,55.67,6.05,96.77,52.18,2000,1704,2.76,1,1
7.72,15.3,57.14,5.54,95.49,53.84,3000,2783,3.4,1,1
14.0,21.73,77.68,7.65,93.36,72.57,3500,2506,6.37,2,2
5.26,9.55,43.96,5.05,98.55,38.21,2000,2036,1.4,0,0
7.72,15.2,53.71,5.98,96.72,53.45,3000,2812,3.41,1,1
11.0,20.83,70.05,7.83,91.82,68.05,3500,2546,4.94,3,2
17.45,39.06,94.89,10.95,84.69,93.65,4000,1614,8.3,8,3
7.03,15.25,57.58,5.65,96.43,51.56,2000,1769,3.13,2,1
10.49,24.3,72.96,7.81,93.34,66.55,3500,2887,5.21,3,2
22.8,38.05,89.36,9.9,87.66,93.57,4000,2182,10.69,5,3
5.14,10.54,45.6,5.11,98.63,39.71,2000,2020,1.52,0,0
22.56,35.94,97.27,9.92,86.56,93.41,4000,2446,9.76,5,3
4.87,9.64,45.3,5.01,98.61,39.75,2000,1968,1.69,1,0
10.03,24.1,79.0,7.15,92.99,69.93,3500,2578,6.36,4,2
4.85,10.14,46.54,4.82,98.47,39.19,2000,2049,1.52,1,0
5.32,10.99,46.08,4.96,98.3,41.6,2500,2474,1.42,1,0
5.2,9.63,46.16,5.04,98.23,41.98,2500,2470,1.44,1,0
11.5,22.88,70.37,7.23,92.25,69.5,3500,2604,6.39,6,2
12.27,21.19,78.96,7.88,92.47,73.35,3500,2714,5.3,5,2
4.63,9.12,45.19,5.15,98.63,38.87,2000,1985,1.36,1,0
19.92,34.45,96.14,10.91,82.34,89.78,4000,2308,10.57,7,3
5.07,9.3,43.11,5.03,98.4,40.48,2000,2015,1.43,0,0
7.24,12.17,54.75,5.88,95.56,53.58,3000,2701,2.83,2,1
13.02,20.32,75.99,7.65,92.51,72.11,3500,2697,5.28,6,2
4.88,9.96,43.29,4.97,98.29,39.74,1500,1530,1.65,0,0
7.7,14.29,57.27,5.81,95.68,52.13,2000,1876,3.26,1,1
4.6,9.08,44.85,4.89,98.47,39.85,1500,1527,1.46,1,0
4.53,9.9,45.25,4.92,98.57,39.3,1500,1474,1.34,0,0
11.32,23.5,79.63,7.06,91.37,71.71,3500,2641,4.61,2,2
20.96,36.46,97.74,10.8,82.34,88.75,4000,2140,10.53,5,3
6.71,14.93,57.98,6.03,96.65,53.12,2500,2366,3.42,1,1
4.57,10.12,44.93,5.01,98.39,40.26,2000,1952,1.52,1,0
4.65,9.0,46.03,4.87,98.51,41.69,2000,2016,1.5,1,0
6.58,12.35,54.86,5.76,96.2,53.84,2000,1794,2.94,0,1
6.84,15.65,53.22,5.54,96.54,53.62,3000,2854,3.47,1,1
8.34,15.88,56.84,6.04,96.15,54.92,2000,1731,2.55,2,1
13.91,21.13,73.74,7.89,91.68,72.05,3500,2720,6.45,4,2
10.24,24.52,78.75,7.47,92.12,73.68,3500,2795,5.25,3,2
4.98,10.47,46.31,4.9,98.32,39.99,2500,2531,1.55,1,0
5.23,9.81,46.53,4.95,98.53,40.73,2500,2523,1.55,0,0
5.49,9.27,46.9,5.14,98.71,40.29,2000,1958,1.62,1,0
16.26,33.34,100.33,9.37,85.19,93.82,4000,2159,7.71,5,3
11.95,24.87,76.59,7.27,91.45,70.32,3500,2736,5.73,3,2
10.03,22.96,79.2,7.24,92.39,70.87,3500,2634,4.64,5,2
11.61,21.63,73.26,7.43,93.37,67.93,3500,2847,4.5,3,2
4.8,10.71,45.58,5.11,98.58,38.04,1500,1526,1.58,0,0
20.81,34.85,100.48,9.84,86.72,92.12,4000,2416,8.66,7,3
7.85,13.06,57.59,5.68,96.12,50.3,2000,1797,2.61,2,1
12.03,23.09,77.36,7.61,90.53,67.64,3500,2578,4.77,6,2
16.55,39.66,95.08,10.74,84.11,91.4,4000,2366,10.41,5,3
7.61,15.6,55.15,5.62,96.43,50.32,3000,2871,2.61,0,1
4.69,10.46,44.19,4.89,98.68,40.25,1500,1470,1.53,0,0
8.37,12.56,54.63,5.89,96.73,52.46,2500,2281,2.53,2,1
7.74,14.67,56.74,5.77,95.84,51.75,3000,2798,2.62,2,1
6.64,12.42,56.52,5.72,96.05,53.62,3000,2770,3.37,0,1
7.72,14.38,53.54,5.76,96.64,52.94,2000,1831,3.33,2,1
5.23,10.18,46.54,5.14,98.58,41.28,2000,2048,1.51,0,0
13.4,21.19,76.92,7.18,92.14,67.97,3500,2691,4.6,4,2
12.86,21.1,74.73,7.93,92.13,71.92,3500,2536,6.47,4,2
13.47,24.55,71.28,7.27,91.25,68.93,3500,2617,6.33,6,2
4.67,9.18,44.47,5.11,98.76,39.75,1500,1491,1.33,0,0
8.4,12.08,54.9,6.05,95.5,54.43,3000,2848,2.86,1,1
12.38,22.22,71.08,7.28,91.29,67.1,3500,2666,5.81,4,2
22.6,37.97,96.53,10.07,85.49,89.37,4000,2146,8.22,10,3
7.9,12.07,53.07,6.08,95.2,50.64,2500,2229,2.88,3,1
5.15,10.56,44.51,5.07,98.52,40.98,2000,2039,1.69,1,0
7.53,13.02,52.26,5.79,96.52,53.49,2000,1711,2.65,1,1
7.07,13.4,57.0,6.02,95.67,54.53,2000,1864,3.38,3,1
4.78,10.52,43.93,4.84,98.6,40.09,2000,1983,1.32,1,0
7.91,13.25,52.15,5.58,95.52,52.78,2000,1797,2.86,1,1
19.8,36.23,93.0,9.21,83.4,89.67,4000,2365,7.66,7,3
6.76,15.93,53.96,5.78,96.16,54.71,2500,2221,2.93,3,1
23.57,39.94,88.13,10.86,82.38,90.4,4000,1993,8.59,8,3
20.76,36.03,101.16,9.88,84.06,86.92,4000,1689,7.3,9,3
13.56,22.29,72.69,7.89,92.87,71.89,3500,2516,4.97,2,2
12.27,23.9,78.01,7.28,91.7,69.11,3500,2721,4.54,3,2
11.03,22.18,77.63,7.97,93.06,66.12,3500,2779,6.19,2,2
19.57,32.15,95.61,10.45,87.02,86.0,4000,1837,8.66,5,3
13.68,20.13,75.57,7.44,93.18,72.43,3500,2858,5.73,2,2
6.74,13.91,54.28,6.02,96.69,51.78,3000,2841,2.87,2,1
6.99,15.18,57.64,5.81,95.37,52.09,3000,2896,2.84,0,1
7.17,13.44,56.43,5.83,95.38,53.89,2500,2335,2.7,1,1
16.81,32.71,91.52,9.22,85.23,85.48,4000,1891,10.87,10,3
8.49,15.32,54.17,5.89,95.54,50.49,3000,2825,3.09,0,1
13.81,22.96,76.63,7.9,93.17,72.83,3500,2823,5.64,5,2
7.38,12.15,54.89,5.55,95.72,49.31,2000,1881,2.51,1,1
13.09,19.15,77.02,7.58,92.17,66.5,3500,2814,4.61,6,2
16.91,38.55,99.68,10.44,86.76,86.48,4000,1834,8.32,5,3
13.78,21.75,70.55,7.4,90.55,70.87,3500,2696,5.9,4,2
7.19,14.92,57.58,5.69,95.43,52.59,2000,1814,2.63,3,1
5.45,9.17,46.28,5.1,98.45,38.8,2500,2500,1.32,1,0
7.97,12.5,52.02,5.72,95.6,50.46,2000,1896,2.52,2,1
23.91,31.27,97.74,9.62,84.39,90.39,4000,1910,9.3,5,3
7.36,12.45,57.98,5.98,95.29,54.02,3000,2715,3.45,0,1
7.78,12.23,55.95,5.75,96.44,53.32,2000,1828,2.7,0,1
4.63,10.93,46.73,5.05,98.64,39.0,2000,2001,1.53,1,0
18.8,36.33,92.09,10.27,82.92,91.25,4000,2470,10.66,9,3
17.39,35.75,89.48,10.29,84.56,89.19,4000,2013,9.35,8,3
4.74,10.49,46.49,5.15,98.58,39.4,1500,1465,1.59,1,0
17.81,36.01,98.19,10.18,83.45,93.54,4000,1612,8.25,10,3
7.08,12.04,52.45,5.52,96.79,52.33,3000,2891,3.14,1,1
10.38,22.13,75.7,7.91,92.81,71.53,3500,2646,6.18,4,2
11.52,22.96,77.56,7.51,92.93,72.62,3500,2538,5.13,4,2
5.32,10.35,43.71,4.97,98.67,39.79,2500,2526,1.65,1,0
6.99,14.06,54.99,5.82,96.1,53.29,2000,1763,2.85,2,1
6.94,14.98,57.91,5.94,96.09,51.91,2000,1755,3.26,0,1
4.87,9.49,44.36,5.12,98.49,41.94,2500,2498,1.59,1,0
4.53,10.21,44.78,4.82,98.39,38.75,1500,1517,1.37,1,0
13.74,20.85,74.92,7.69,91.73,66.57,3500,2771,5.56,4,2
6.85,15.41,57.19,5.56,96.09,51.72,2500,2353,3.14,0,1
7.31,12.09,52.29,5.97,95.97,50.7,2500,2364,2.74,2,1
23.36,36.45,96.31,10.52,84.94,85.44,4000,1762,10.88,8,3
17.93,30.44,88.27,9.69,85.55,92.02,4000,1639,10.38,5,3
23.14,38.27,93.59,10.02,85.97,88.46,4000,1603,9.32,5,3
7.69,14.16,57.22,6.03,96.79,53.02,3000,2887,3.22,3,1
5.35,10.26,44.18,4.96,98.59,38.35,2500,2533,1.44,0,0
8.01,15.55,54.26,5.56,96.29,51.98,2500,2314,3.3,1,1
4.58,9.95,46.64,5.16,98.32,41.58,2500,2488,1.63,1,0
22.37,31.2,96.49,9.29,83.63,94.19,4000,2015,7.79,9,3
6.78,14.57,54.17,6.1,96.38,53.94,2000,1863,2.94,0,1
7.42,13.48,52.11,6.09,95.54,51.24,2500,2293,3.14,3,1
5.13,9.42,44.77,5.09,98.27,39.53,1500,1464,1.34,1,0
12.57,23.97,75.18,7.63,91.22,73.17,3500,2805,4.61,3,2
6.54,12.4,53.76,5.72,96.43,49.15,2500,2252,2.98,3,1
5.13,10.23,43.92,5.18,98.47,40.55,2500,2462,1.55,1,0
7.12,13.19,53.73,5.64,95.87,50.44,2000,1726,3.31,2,1
19.96,36.89,99.14,9.86,82.01,88.64,4000,2221,9.61,9,3
5.27,9.67,45.44,5.13,98.26,41.05,2000,2003,1.36,0,0
4.51,10.69,43.69,5.07,98.48,39.07,2000,2005,1.54,1,0
23.1,31.28,93.86,9.45,86.3,86.58,4000,2171,7.21,8,3
6.59,12.01,52.99,5.59,95.62,52.89,2500,2322,3.46,3,1
23.89,30.91,95.67,9.04,87.31,86.79,4000,2424,10.45,6,3
5.12,10.51,44.72,4.86,98.43,38.66,1500,1541,1.31,0,0
13.65,20.51,76.96,7.01,92.07,70.77,3500,2513,6.25,3,2
19.22,39.79,98.42,9.32,85.22,89.23,4000,2418,10.9,9,3
10.38,23.95,71.52,7.36,90.83,68.7,3500,2770,5.07,5,2
6.52,12.01,55.62,5.66,96.48,52.45,3000,2860,2.73,0,1
11.24,24.31,72.28,7.93,92.9,66.6,3500,2670,4.89,5,2
11.22,23.2,75.73,7.25,91.55,68.68,3500,2878,6.32,4,2
5.11,9.76,43.94,4.83,98.59,39.79,2500,2521,1.61,1,0
6.85,12.75,55.41,5.52,95.7,52.54,3000,2741,3.11,3,1
4.92,10.32,44.9,5.18,98.36,39.4,1500,1527,1.3,0,0
5.19,10.23,46.2,5.1,98.49,38.88,2500,2504,1.67,0,0
11.54,21.02,71.81,7.07,93.25,72.51,3500,2520,4.51,2,2
8.0,12.77,57.1,6.08,95.65,53.79,2000,1754,3.04,2,1
4.58,10.38,45.69,4.84,98.29,41.74,2500,2472,1.35,1,0
8.19,15.4,52.68,6.04,96.65,52.43,3000,2803,3.2,2,1
10.27,24.7,73.6,7.87,92.87,71.02,3500,2781,6.22,5,2
4.65,10.09,44.73,4.82,98.66,40.65,2500,2471,1.59,1,0
5.25,9.14,44.63,4.97,98.33,41.34,2000,2031,1.62,0,0
7.61,13.57,55.4,5.97,96.36,50.53,2000,1722,3.35,2,1
22.87,36.53,88.01,10.71,83.17,92.55,4000,1586,7.93,10,3
10.68,20.71,70.86,7.66,91.03,70.84,3500,2898,6.42,6,2
